id,n_urgency,lack_premed,lack_perserverance,sensation_seeking,p_urgency
1,1.916666667,2.090909,2.4,2.583333,1.785714
2,2,1.727273,2,2.833333,1.5
3,1.916666667,2.454545,3.222222,2.333333,1.714286
4_old,1.333333333,2.181818,1.6,3.583333,1
5,2.083333333,2.181818,1.6,2.416667,2.285714
6,1.916666667,1.636364,2.5,2.583333,2
7,2.166666667,1.454545,2.6,2.583333,1.142857
8,3,2,2.8,1.583333,2.214286
9,2.583333333,1.727273,3,1.25,1.071429
10,2.583333333,3,2.6,3.75,2.428571
11,2.5,2,3.2,3.166667,2.071429
12,2.416666667,2.090909,1.8,3.333333,2.428571
13,2.083333333,2.363636,2.6,3.583333,2.071429
14,3.25,1.727273,2.6,3.25,2.928571
15_old,2.083333333,1.636364,1.6,2.666667,1.285714
16,2.25,1.727273,2.3,1.75,1.357143
17,2.916666667,1,2.5,1.166667,1.357143
18,2.25,2.454545,1.7,2.833333,1.571429
19,1.75,1.363636,1.6,3.666667,1.5
20,2.583333333,2,2.2,2.583333,2.071429
21,1.916666667,1.909091,1.8,3.083333,2.571429
22,2.25,2.181818,2.4,3,1.928571
23,2.416666667,1.181818,1.5,3.583333,1.642857
24,2.25,1,1.4,3.083333,2.214286
25,2.583333333,1.909091,2.7,3.666667,1.357143
26,2.666666667,1.909091,2.1,1.75,1.857143
27,3.333333333,3,3.4,3.583333,2.785714
28,2.083333333,2.090909,2.5,2.583333,2
29,2,1.363636,2.4,3.833333,1.142857
30,3.166666667,2.454545,2.6,3.583333,3.785714
31,1.75,1.454545,2.3,1.833333,1.285714
32,1.666666667,2.181818,1.4,3.416667,1.214286
33,1.5,1.727273,1.3,3.75,1.857143
34,2.416666667,2.090909,2,2.083333,2.071429
35,1.5,1.727273,1.6,3.166667,1.428571
36,2.416666667,2.636364,2.8,3.583333,1.928571
37,2.833333333,2.636364,2.6,2.916667,2.642857
38,1.25,2.090909,2.111111,2.727273,1.571429
39,1.916666667,1.272727,1.7,2,1.5
40,2.166666667,1.545455,2.2,2.75,1.357143
41,2.5,2.181818,1.1,2.416667,2.214286
42,2.333333333,2,2.1,3,2.285714
43,2.666666667,2,2.4,2.166667,2.357143
44,2.416666667,2.454545,2.5,1.583333,1.642857
45,2.818181818,2.4,2.3,2.75,2.857143
46,2,1.727273,2,3.083333,1.5
47,2.583333333,1.454545,1.8,2,1.928571
48,2.25,1.818182,3.2,2,2
49,2.5,2,2.1,2.75,2.928571
50,2.916666667,2.090909,2.3,2.416667,3.785714
51,2.333333333,1.909091,2.2,2.833333,1.357143
52,2.916666667,3,3.4,2.166667,1.857143
42a,2.166666667,2.727273,2.2,3.25,2.214286
15,1.916666667,2,2,2.916667,1.357143
4,2.083333333,1.545455,1.9,3,1.785714
62,2.416666667,2.636364,2.6,3,2
54,1.666666667,1.545454545,2.2,1.5,1.071428571
71,1.583333333,1.636363636,1.9,3.25,1.357142857
66,2.666666667,1.454545455,2.2,3.416666667,1.642857143
59,2,1.909090909,1.9,2.666666667,1.857142857
72,2.5,1.909090909,2.5,2.5,1.928571429
58,2.636363636,1.454545455,3.4,3.25,3.142857143
